countriesAndTerritories,casesPer1000,deathsPer1000,NovemberCasesPercent,NovemberDeathsPercent,casesSinceSeptember,deathsSinceSeptember,countryterritoryCode,popData2019,continentExp,casesSinceNovember,deathsSinceNovember,NY.GDP.PCAP.CD,EN.POP.DNST,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SP.POP.65UP.TO.ZS,SH.STA.TRAF.P5,EN.ATM.PM25.MC.M3
Afghanistan,0.13348489660979643,0.005651684279461645,0.3574241827491138,0.3767441860465116,5078,215,AFG,38041757.0,Asia,1815,81,502.115486913067,56.937760009803,0.5,0.2782,2.61579421390507,15.1,56.9108083545081
Albania,6.237014952695737,0.11598549063434631,0.3696297541029519,0.3313253012048193,17853,332,ALB,2862427.0,Europe,6599,110,5352.85741103671,104.612262773723,2.9,1.2164,14.2026306207364,13.6,18.2006025215914
Algeria,0.5266293071799274,0.014818925505261486,0.4043576059630397,0.28683385579937304,22673,638,DZA,43053054.0,Africa,9168,183,3948.34327892571,17.7300750711665,1.9,1.7193,6.55277788191286,23.8,38.8840106983002
Andorra,60.398808039171925,0.2888010816913242,0.23038469897848293,,4601,22,AND,76177.0,Europe,1060,0,40886.3911648431,163.842553191489,2.5,3.3333,,7.6,10.3076213949548
Angola,0.3331940416333559,0.006598524023293544,0.279045643153527,0.2,10604,210,AGO,31825299.0,Africa,2959,42,2973.59115979868,24.7130520574316,0.8,0.2146,2.19934175001363,23.6,32.3885049076425
Anguilla,,,,,0,0,AIA,14872.0,America,0,0,,,,,,,
Antigua_and_Barbuda,0.4118828193378984,0.01029707048344746,0.175,1.0,40,1,ATG,97115.0,America,7,1,17790.309306815,218.831818181818,3.8,2.956,9.05496406433411,7.9,18.6223428464755
Argentina,20.178458676650138,0.6008395362508493,0.16341764377133813,0.16780643722589758,903605,26906,ARG,44780675.0,America,147665,4515,10006.1489736082,16.2585100979651,5.0,3.9901,11.2431082719004,14.0,13.311833946835
Armenia,24.879569723787988,0.29955425245323436,0.37403345699648033,0.4762979683972912,73587,886,ARM,2957728.0,Europe,27524,422,4622.73349328671,103.680224798033,4.2,4.4023,11.4836677169087,17.1,32.5281183420597
Aruba,25.030570971686576,0.3198193961057285,0.06989853438556934,0.20588235294117646,2661,34,ABW,106310.0,America,186,7,29007.6930034887,588.027777777778,,,14.0583554376658,,
Australia,0.08098178009141696,0.011744540375825292,0.06320431161195493,,2041,296,AUS,25203200.0,Oceania,129,0,54907.1019101424,3.24787091037205,3.8,3.6778,15.9212017459054,5.6,8.55032440147794
Austria,19.302668822720975,0.101142652341887,0.5659305956794817,0.6138392857142857,170998,896,AUT,8858775.0,Europe,96773,550,50277.2750874213,107.127966860564,7.6,5.1697,19.0756062856682,5.2,12.4779667308248
Azerbaijan,3.6943708318276016,0.04130290665971053,0.5187230603448276,0.5493975903614458,37120,415,AZE,10047719.0,Europe,19255,228,4793.58701966989,120.23431716463,4.7,3.446,6.4463891203953,8.7,19.9286636166698
Bahamas,12.827161951905845,0.28755847450229277,0.10388310648518816,0.11607142857142858,4996,112,BHS,389486.0,America,519,13,32933.4860147581,38.5254745254745,2.9,2.0068,7.48327265444873,13.8,17.3677204858567
Bahrain,20.076604166311228,0.08774260220185186,0.09277975052353638,0.09722222222222222,32949,144,BHR,1641164.0,Asia,3057,14,23503.977126673,2017.27369979138,2.0,0.9257,2.51880972865733,8.0,70.8162076823101
Bangladesh,0.7339884021687525,0.011806471532453571,0.20164780988351688,0.13922077922077922,119674,1925,BGD,163046173.0,Asia,24132,268,1855.73982408046,1239.57931166936,0.8,0.5809,5.18035134847486,15.3,60.8457845768598
Barbados,0.2647889875653698,,0.17105263157894737,,76,0,BRB,287021.0,America,13,0,18148.2449264001,666.606976744186,5.8,2.4843,16.2309903318526,5.6,23.0801758047572
Belarus,4.356878759689726,0.03840290871882501,0.37323652963601484,0.17079889807162535,41183,363,BLR,9452409.0,Europe,15371,62,6663.29529282582,46.7195037884204,11.0,5.1905,15.2008413514816,8.9,18.7655799063811
Belgium,38.914256089139215,0.3845308099964742,0.1993705457588109,0.596594778660613,445783,4405,BEL,11455519.0,Europe,88876,2628,46116.69923368,377.379590488771,6.2,3.0709,19.0065660669321,5.8,12.8865184713072
Belize,9.70664863161616,0.1921347710137799,0.34864080232251254,0.4,3789,75,BLZ,390351.0,America,1321,30,4815.1637107951,16.7939938623411,1.3,1.1229,4.86738926048986,28.3,23.0118921090113
